index,disease_name,description,Possible Steps,image_url
21,Patates : Erken Yanıklık,"Çoğu üretim alanında, erken yanıklık her yıl bir dereceye kadar görülür. Erken yanıklığın şiddeti, yağmur, çiy veya sulamadan kaynaklanan yaprak ıslaklığının sıklığına; yaprakların besin durumuna; ve çeşidin duyarlılığına bağlıdır. Erken yanıklığın ilk belirtileri, eski (alt) yapraklarda küçük, dairesel veya düzensiz, koyu kahverengi ila siyah noktalar olarak görülür. Bu noktalar çap olarak 3/8 inçe kadar büyür ve giderek köşeli hale gelebilir. Genç, tamamen genişlemiş yapraklardaki ilk lezyonlar, kahverengi nokta lezyonlarıyla karıştırılabilir. Bu ilk lezyonlar enfeksiyondan yaklaşık iki ila üç gün sonra ortaya çıkar ve bu lezyonların yüzeyinde daha fazla sporlanma üç ila beş gün sonra meydana gelir.","Erken yanıklığın tedavisi, hastalığa dayanıklı patates çeşitleri ekerek önlemeyi içerir; geç olgunlaşanlar erken olgunlaşan çeşitlerden daha dayanıklıdır. Üstten sulamadan kaçının ve yaprakların olabildiğince çabuk kurumasını sağlamak için bitkiler arasında yeterli havalandırma sağlayın.",https://www.ag.ndsu.edu/publications/crops/early-blight-in-potato/figure-1-opt.jpeg/@@images/468990cc-77a9-4e29-8779-0eb3e94e0407.jpeg
22,Patates : Geç Yanıklık,"Birincil konak patatestir, ancak P. infestans ayrıca patates için inokulum kaynağı görevi görebilen domates, petunya ve tüylü patlıcangiller gibi diğer patlıcangil bitkilerini de enfekte edebilir. Tarlada geç yanıklığın ilk belirtileri küçük, açık ila koyu yeşil, dairesel ila düzensiz şekilli suyla ıslanmış lekelerdir. Bu lezyonlar genellikle ilk olarak alt yapraklarda görülür. Lezyonlar genellikle çiğin en uzun süre tutulduğu yaprak uçlarına veya kenarlarına yakın yerlerde gelişmeye başlar. Serin, nemli havalarda bu lezyonlar hızla büyük, koyu kahverengi veya siyah lezyonlara dönüşür ve genellikle yağlı görünür. Yaprak lezyonları ayrıca sıklıkla sarı bir klorotik hale ile çevrilidir","Batı Bengal'de şiddetli geç yanıklık, hastalığın başlangıcında %0,25 oranında mankozeb'in profilaktik spreylenmesi, ardından %0,3 oranında simoksanil+mankozeb veya dimetomorf+mankozeb ve sistemik fungisitlerin uygulanmasından yedi gün sonra %0,25 oranında bir mankozeb spreyi ile etkili bir şekilde yönetilebilir.",https://www.ag.ndsu.edu/publications/crops/late-blight-in-potato/figure-2-opt.jpeg/@@images/dfe1e0b4-08d4-404a-8e66-474de72b1e91.jpeg
23,Patates : Sağlıklı,"Birçok patatesin gelişmesi için sabit nem seviyelerine ihtiyacı vardır, bu nedenle yumrular oluştuğunda her gün düzenli olarak sulayın. Patates bitkilerini suladığınızda, yaklaşık 8-10 inçlik zemin seviyesine ulaşmalıdır. Sıcak veya ılık mevsimlerde toprak hızla kuruduğu için patates bitkilerini günde iki kez büyük miktarlarda sulayın.","Besinlerle Dolu. Pinterest'te Paylaş. Antioksidanlar İçerir. Patatesler flavonoidler, karotenoidler ve fenolik asitler gibi bileşikler açısından zengindir (4). Kan Şekeri Kontrolünü İyileştirebilir. Sindirim Sağlığını İyileştirebilir. Doğal Olarak Glutensiz. İnanılmaz Doyurucu. Son Derece Çok Yönlü.",https://www.garden.eco/wp-content/uploads/2018/06/can-you-eat-potato-leaves.jpg
24,Ahududu : Sağlıklı,"İlkbahardan hasat sonrasına kadar haftada bir inç sulayın. Düzenli sulama, seyrek derin ıslatmadan daha iyidir. Sıralardan çok uzakta büyüyen ""emicileri"" veya kamışları kazarak ahududu çalılarınızı düzenli tutun; kazmazsanız, besinleri çekerler ve gelecek yıl daha az meyveniz olur.",Kalp fonksiyonu için gerekli olan ve kan basıncını düşürdüğü kanıtlanmış potasyum sağlarlar. Ahududulardaki omega-3 yağ asitleri felç ve kalp hastalıklarını önlemeye yardımcı olabilir. Ayrıca sağlıklı kemikler ve cilt için gerekli olan ve kan şekerini düzenlemeye yardımcı olan manganez adı verilen bir mineral içerirler.,https://www.gardeningknowhow.com/wp-content/uploads/2009/04/raspberry.jpg
25,Soya Fasulyesi : Sağlıklı,Soya fasulyeleri toprağa girene kadar ekim yataklarını eşit şekilde nemli tutun. Çiçeklenme ve bakla oluşumu sırasında düzenli olarak sulayın. Çiçeklerin ve baklaların düşmesine neden olabilecek üstten sulamadan kaçının. Toprak nemini korumak için toprak 60°F'nin (16°C) üzerine çıktığında malçlayın.,"lif açısından zengin, protein açısından zengin, doymuş yağ açısından düşük, kolesterol içermeyen, laktoz içermeyen, iyi bir omega-3 yağ asitleri kaynağı, antioksidan kaynağı, fitoöstrojen açısından zengin.",https://upload.wikimedia.org/wikipedia/commons/a/ac/Soybean_leaves.jpg
26,Kabak : Toz halinde küf,"Hem üst hem de alt yaprak yüzeylerinde beyaz tozlu lekeler oluşabilir ve hızla büyük lekelere dönüşebilir. Tozlu küf bitkiyi zayıflatır ve meyve erken olgunlaşır. Enfekte bitkilerde daha az ve daha küçük meyveler büyür. Sıcak ve kuru koşullarda yeni sporlar oluşur ve hastalığı kolayca yayar. Tozlu küf belirtileri ilk olarak Minnesota'da yaz ortasından sonuna kadar görülür. Bitkilerin etrafında uygun aralık, bitkilerin kazıklanması ve yabani ot kontrolü yoluyla iyi hava dolaşımı sağlayın. Duyarlı çeşitler, geçmişte tozlu küfün verim kaybına yol açtığı bir alanda büyüyorsa, mantar ilacı gerekebilir.","Bir yemek kaşığı karbonat ve yarım çay kaşığı sıvı, deterjansız sabunu bir galon suyla karıştırın ve karışımı bitkilere bolca püskürtün. Ağız gargarası. Ağzınızdaki mikropları öldürmek için günlük olarak kullanabileceğiniz ağız gargarası, külleme sporlarını öldürmede de etkili olabilir.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-2.jpg?itok=Un68av52
27,Çilek : Yaprak Yanığı,"Yaprak yanıklığı belirtileri, üst yaprak yüzeyine dağılmış düzensiz koyu mor lekelerle, yaygın (Mycosphaerella) yaprak lekesinin erken evrelerine çok benzer. Lekeler büyüdükçe, katran damlaları gibi görünmeye başlarlar ve aslında mantarın siyah meyve gövdelerinin (acervuli) birikimleridir. Lekelerin merkezleri mor kalır (Mycosphaerella yaprak lekesinde beyazdır) ve iyi tanımlanmış bir lezyon sınırı yoktur. Ağır enfeksiyonlarda, bu bölgeler birleşir ve lezyonlar arasındaki doku genellikle kültüre, sıcaklığa veya diğer faktörlere bağlı olarak morumsu ila parlak kırmızı bir renk alır. Yapraklar sonunda kahverengiye döner, kurur ve kenarlarda kıvrılarak yaprağa yanık bir görünüm verir. Acervuli ve konidial morfolojisinin incelenmesi, hastalığın bu ileri evresinde yaprak lekesi ile yaprak yanığı arasında ayrım yapmaya yardımcı olabilir. Yaprak yanıklığı lezyonlarının üst yaprak yüzeylerinde, acervuliler parlak spor kütleleri ve koyu apotesyumlarla koyu renktedir. Yaprak sapı lezyonları uzunlamasına, çökük, morumsu ila kahverengi renktedir ve yaprak sapını kuşatarak yaprağı öldürebilir. Koşucular, meyve sapları, meyveler ve şapkalar da enfekte olabilir. Bitkiler zayıflayabilir ve taçların sayısı ve canlılığı azalabilir. Enfeksiyon bitkileri kış ve kuraklık stresine yatkın hale getirir. Şiddetli istilalarda çiçekler ve meyveler ölebilir.","Çilek bitkilerindeki yaprak yanıkları sinir bozucu olabilirken, ev bahçıvanlarının bahçede yayılmasını önlemek için uygulayabilecekleri bazı stratejiler vardır. Çilek yaprak yanıklarını kontrol etmenin birincil yolu her zaman önleme olmalıdır. Bu mantar patojeni enfekte bitkilerin düşen yapraklarında kışı geçirdiğinden, uygun bahçe temizliği önemlidir. Buna, çilek tarlasından enfekte bahçe artıklarının temizlenmesi ve sık sık yeni çilek fidelerinin yerleştirilmesi dahildir. Yeni ekimler ve çilek tarlaları oluşturmak, tutarlı bir çilek hasadı sağlamak için önemlidir, çünkü eski bitkilerin şiddetli enfeksiyon belirtileri gösterme olasılığı daha yüksektir.",https://content.ces.ncsu.edu/media/images/17531_IMG_2126.JPG
28,Çilek : Sağlıklı,"Güneşli bir yer bulun çünkü bol ışığı severler ve buna ihtiyaç duyarlar. Ben sabah güneşi aldıkları bir yeri tercih ederim. Eğer saksılarda ve/veya diğer kaplarda tutuyorsanız, değişen güneş ışığından faydalanmak için gün içinde onları hareket ettirmeniz iyi olur. Susayan bitkilerdir. Özellikle meyve veriyorlarsa, her gün sulayın. Hastalıkları önlemek için bunu sabah yapmak ve yaprakları ıslatmaktan kaçınmak en iyisidir. Onları aşırı hava koşullarından ve rüzgardan koruyun. Güneş ışığını sevseler bile, doğrudan öğle güneşine maruz kalmanın da zararlı olabileceğini lütfen unutmayın. Saksıların drenajının iyi olup olmadığını kontrol edin. Yabani otları ve istenmeyen bitkileri kontrol altında tutun. Çilek üretmek için çok fazla enerjiye ihtiyaç duydukları için onları gübrelemeniz gerekir. Dengeli bir gübre satın alın (10-10-10, 12-12-12, vb.). Talimatları izleyin çünkü çok fazla gübre meyve verimini azaltabilir ve ayrıca sürgün üretimini teşvik edebilir.","Çileğin kalp şeklindeki silüeti, bu meyvenin sizin için iyi olduğuna dair ilk ipucudur. Bu güçlü küçük paketler kalbinizi korur, HDL (iyi) kolesterolü artırır, kan basıncınızı düşürür ve kansere karşı korur. Vitaminler, lif ve özellikle polifenoller olarak bilinen yüksek antioksidan seviyeleriyle dolu çilekler, sodyumsuz, yağsız, kolesterolsüz, düşük kalorili bir besindir. Antioksidan kapasitesi bakımından ilk 20 meyve arasındadır ve iyi bir manganez ve potasyum kaynağıdır. Sadece bir porsiyon -yaklaşık sekiz çilek- bir portakalın sağladığından daha fazla C vitamini sağlar.",https://www.canr.msu.edu/uploads/images/7-12-11-MARK-plhstrw4.jpg
29,Domates : Bakteri Lekesi,"Domatesin bakteriyel lekesi, şiddetli vakalarda pazarlanamaz meyvelere ve hatta bitki ölümüne yol açabilen, potansiyel olarak yıkıcı bir hastalıktır. Bakteriyel leke, domateslerin yetiştirildiği her yerde oluşabilir, ancak en sık sıcak, nemli iklimlerde ve seralarda bulunur. Hastalık genellikle Wisconsin'de bir sorundur. Bakteriyel leke, yapraklar, gövdeler ve meyveler dahil olmak üzere bir domates bitkisinin tüm toprak üstü kısımlarını etkileyebilir. Bakteriyel leke, yapraklarda küçük (? inçten az), bazen suyla ıslanmış (yani ıslak görünümlü) dairesel alanlar olarak görünür. Lekeler başlangıçta sarı-yeşil olabilir, ancak yaşlandıkça koyulaşarak kahverengimsi-kırmızıya döner. Hastalık şiddetli olduğunda, yaygın yaprak sararması ve yaprak kaybı da meydana gelebilir. Yeşil meyvelerde, lekeler genellikle küçük, kabarık ve kabarcık benzeridir ve sarımsı bir haleye sahip olabilir. Meyve olgunlaştıkça, lekeler büyür (maksimum ¼ inç boyutuna ulaşır) ve kahverengi, kabuklu ve pürüzlü hale gelir. Olgun lekeler kabarık veya kabarık kenarlı çökük olabilir.","Bakteriyel leke patojenlerinin kontamine tohum veya fidelere girmesini önlemek için patojen içermeyen tohum veya fideler ekin. Temiz bir tohum kaynağı yoksa veya tohumunuzun kontamine olduğundan şüpheleniyorsanız, patojenleri öldürmek için tohumları 25 dakika boyunca 122°F'lik suda bekletin. Yaprakları kuru tutmak ve patojenlerin yayılmasını önlemek için, yerleşik bitkilere yukarıdan sulama (örneğin, bir çubuk veya fıskiye ile) yapmaktan kaçının ve bunun yerine damlama bandı veya ıslatma hortumu kullanın. Ayrıca, yayılmayı önlemek için, bitkileri ıslakken (örneğin, çiyden) ellemeyin ve aletleri rutin olarak %10'luk çamaşır suyu çözeltisi veya (daha iyi) %70'lik alkol (örneğin, sürtünme alkolü) ile sterilize edin. Bakteriyel leke tekrarlayan bir sorun olduğunda, özellikle sıcak ve ıslak dönemlerde domateste kullanım için kayıtlı bakır bazlı ürünlerin önleyici uygulamalarını kullanmayı düşünün. Ancak, aşırı veya uzun süre kullanıldığında, bakırın artık hastalığı kontrol edemeyebileceğini unutmayın. Seçtiğiniz ürünün etiketinde yer alan tüm talimatları okuyup uyguladığınızdan emin olun; böylece ürünü mümkün olan en güvenli ve etkili şekilde kullandığınızdan emin olabilirsiniz.",https://www.growingproduce.com/wp-content/uploads/2019/08/bacterial_spot_tomato.jpg
30,Domates : Erken yanıklık,"Erken yanıklık, domates yetiştirilen hemen hemen her mevsimde görülen en yaygın domates hastalıklarından biridir. Yaprakları, meyveleri ve sapları etkiler ve hassas çeşitler kullanıldığında ve hava koşulları uygun olduğunda verimi ciddi şekilde sınırlayabilir. Şiddetli yaprak dökülmesi meydana gelebilir ve meyvede güneş yanığına neden olabilir. Erken yanıklık, Minnesota'da hem tarla hem de yüksek tünel domates üretiminde yaygındır.","Hava sirkülasyonunu iyileştirmek ve mantar sorunlarını azaltmak için bitkileri budayın veya kazıklayın. Her kesimden sonra budama makasınızı dezenfekte ettiğinizden emin olun (bir kısım çamaşır suyu ve 4 kısım su). Bitkilerin altındaki toprağı temiz ve bahçe artıklarından arındırılmış tutun. Sporların bitkilere sıçramasını önlemek için bir kat organik kompost ekleyin. Yaprakların kuru kalmasına yardımcı olmak için damla sulama ve ıslatma hortumları kullanılabilir. En iyi kontrol için, hastalık normalde ortaya çıkmadan iki hafta önce veya hava tahminleri uzun süreli yağışlı hava öngördüğünde bakır bazlı mantar öldürücüleri erken uygulayın. Alternatif olarak, hastalık ilk ortaya çıktığında tedaviye başlayın ve gerektiği kadar uzun süre her 7-10 günde bir tekrarlayın. Bakır ve piretrinler içeren Bonide® Garden Dust, birçok böcek saldırısı ve mantar sorunu için güvenli, tek adımlı bir kontroldür. En iyi sonuçlar için, yaprakların hem üstlerini hem de altlarını ince, düzgün bir film veya tozla örtün. Yaprak yoğunluğuna bağlı olarak, 10 oz 625 ft kareyi kaplayacaktır. Gerektiğinde her 7-10 günde bir uygulamaları tekrarlayın.",https://extension.umn.edu/sites/extension.umn.edu/files/styles/large/public/early-blight-leaf-tomato.jpg?itok=woYQQlrF
31,Domates : Geç yanıklık,"Geç yanıklık, oomycete Phytophthora infestans tarafından meydana getirilir. Oomycetes, su küfleri olarak da adlandırılan mantar benzeri organizmalardır, ancak gerçek mantar değildirler. P. infestans'ın birçok farklı suşu vardır. Bunlara klonal soylar denir ve bir sayı koduyla (yani US-23) belirtilir. Birçok klonal soy hem domatesi hem de patatesi etkiler, ancak bazı soylar bir konukçuya veya diğerine özgüdür. Geç yanıklık, domates ve patatesin potansiyel olarak yıkıcı bir hastalığıdır, domates bitkilerinin yapraklarını, gövdelerini ve meyvelerini enfekte eder. Hastalık tarlalarda hızla yayılır ve tedavi edilmezse toplam ürün başarısızlığına neden olabilir. Patatesin geç yanıklığı, 1840'ların sonlarında İrlanda'da yaşanan patates kıtlığından sorumluydu.","Domates geç yanıklığını kontrol altına almanın ilk adımı hijyendir. Bahçedeki tüm döküntüleri ve düşen meyveleri temizleyin. Bu, özellikle uzun süreli donmanın olası olmadığı ve geç yanıklık domates hastalığının düşen meyvelerde kışlayabileceği daha sıcak bölgelerde önemlidir. Şu anda geç domates yanıklığına dayanıklı domates türü bulunmamaktadır, bu nedenle bitkiler haftada en az iki kez incelenmelidir. Geç yanıklık belirtilerinin ıslak koşullarda ortaya çıkma olasılığı daha yüksek olduğundan, bu zamanlarda daha fazla özen gösterilmelidir. Ev bahçıvanları için, maneb, mankozeb, klorotanolil veya sabit bakır içeren mantar ilaçları bitkileri geç domates yanıklığından korumaya yardımcı olabilir. Hastalık herhangi bir zamanda ortaya çıkabileceğinden, büyüme mevsimi boyunca tekrarlanan uygulamalar gereklidir. Organik bahçıvanlar için, kullanımı onaylanmış bazı sabit bakır ürünleri vardır; aksi takdirde, tüm enfekte bitkiler derhal çıkarılmalı ve imha edilmelidir.","https://www.canr.msu.edu/contentAsset/image/e97d1ef0-5b55-49b0-ab4e-c57dcbeca65e/fileAsset/filter/Resize,Jpeg/resize_w/750/jpeg_q/80"
32,Domates : Yaprak Küfü,"Domates yaprak küfü, yaprakların uzun süre ıslak kaldığı ve bağıl nemin yüksek olduğu (yüzde 85'ten fazla) durumlarda gelişebilen bir mantar hastalığıdır. Bu nem gereksinimi nedeniyle hastalık öncelikle seralarda ve seralarda görülür. Domates yaprak küfü, ilkbaharın başlarındaki sıcaklıklarda (50,9 derece Fahrenheit) veya yazın karakteristik sıcaklıklarında (90 F) gelişebilir. Domates yaprak küfünün optimum sıcaklığı 70'lerin başındadır. Hastalığın belirtileri arasında üst yaprak yüzeyinde sarı lekeler bulunur. Etkilenen yaprakların alt tarafında zeytin yeşili sporların ayrı ayrı kümeleri görülebilir.","Domates bitkilerini fungisit ile tedavi ederken, özellikle hastalığın sıklıkla oluştuğu yaprakların alt tarafı olmak üzere, bitkinin toprağın üstündeki tüm alanlarını kapladığınızdan emin olun. Yaprak küfü sorunlarını tedavi etmek için kalsiyum klorür bazlı spreyler önerilir. Organik fungisit seçenekleri de mevcuttur.",https://www.gardeningknowhow.com/wp-content/uploads/2018/04/tomato-leaf-mold-400x300.jpg
33,Domates : Septoria Yaprak Lekesi,"Septoria yaprak lekesi, Septoria lycopersici adlı bir mantardan kaynaklanır. Domates yapraklarının en yıkıcı hastalıklarından biridir ve özellikle ıslak, nemli havanın uzun süre devam ettiği bölgelerde şiddetlidir. Septoria yaprak lekesi genellikle ilk meyve setlerinden sonra alt yapraklarda görülür. Lekeler daireseldir, yaklaşık 1/16 ila 1/4 inç çapındadır, koyu kahverengi kenarları ve küçük siyah meyve yapıları olan ten rengi ila gri merkezleri vardır. Karakteristik olarak, yaprak başına birçok leke vardır. Bu hastalık en eski büyümeden en genç büyümeye doğru yukarı doğru yayılır. Yaprak lezyonları çok sayıdaysa, yapraklar hafifçe sarıya döner, sonra kahverengiye döner ve sonra solar. Meyve enfeksiyonu nadirdir.","Hastalıklı yaprakları temizleyin. Bitkilerin etrafındaki hava sirkülasyonunu iyileştirin. Bitkilerin tabanının etrafını malçlayın. Malçlama, döküntülerle ilişkili mantar sporları içerebilen toprağın sıçramasını azaltacaktır. Toprak ısındıktan sonra malç uygulayın. Yukarıdan sulama yapmayın. Yukarıdan sulama, enfeksiyonu kolaylaştırır ve hastalığı yayar. Yaprakların kuru kalmasını sağlamak için bitkinin tabanına bir ıslatma hortumu kullanın. Günün erken saatlerinde sulayın. Yabani otları kontrol edin. Patlıcan otu ve at ısırganı sıklıkla Septoria yaprak lekesinin konukçularıdır ve bahçe alanının etrafından yok edilmelidir. Ürün rotasyonu yapın. Gelecek yıl hastalıklı domateslerin yetiştiği aynı yere domates ekmeyin. Bu alanlara domatesleri tekrar dikmeden önce 1-2 yıl bekleyin. Mantar öldürücü spreyler kullanın.",https://www.missouribotanicalgarden.org/portals/0/Gardening/Gardening%20Help/images/Pests/Septoria_Leaf_Spot_of_Tomato187.jpg
34,Domates : Örümcek Akarları | İki Noktalı Örümcek Akarı,"İki noktalı örümcek akarı, New England'daki sebze ve meyve mahsullerine saldıran en yaygın akar türüdür. Örümcek akarları domates, patlıcan, patates, kavun, salatalık ve diğer mahsuller gibi asma mahsullerinde ortaya çıkabilir. İki noktalı örümcek akarları patlıcanın en önemli zararlılarından biridir. Yılda 20'ye kadar nesilleri vardır ve aşırı azot ve kuru ve tozlu koşullar tarafından tercih edilirler. Salgınlar genellikle akar popülasyonlarını yönetmeye yardımcı olan çok sayıda doğal düşmana müdahale eden geniş spektrumlu böcek ilaçlarının kullanımından kaynaklanır. Çoğu zararlıda olduğu gibi, sorunu erken yakalamak daha kolay kontrol anlamına gelecektir.","Yabani otlu tarlalardan kaçının ve patlıcanı baklagil yem bitkilerinin yanına dikmeyin. Diğer zararlılar için erken sezon, geniş spektrumlu böcek ilacı uygulamalarından kaçının. Aşırı gübreleme yapmayın. Üstten sulama veya uzun süreli yağmur dönemleri popülasyonları azaltmaya yardımcı olabilir.",https://entomology.ca.uky.edu/files/styles/panopoly_image_original/public/310a.jpg?itok=XNlP0H9H
35,Domates : Hedef Nokta,"Hastalık yaşlı yapraklarda başlar ve yukarı doğru yayılır. İlk belirtiler, sarı kenarlı düzensiz şekilli lekelerdir (1 mm'den küçük). Lekelerin bazıları 10 mm'ye kadar büyür ve karakteristik halkalar gösterir, bu nedenle ""hedef leke"" adı verilir. Tüm yaprakçıklara ve diğer yapraklara yayılma hızlıdır, yaprakların sararmasına, çökmesine ve ölmesine neden olur. Lekeler ayrıca saplarda da görülür. Uzun ve incedirler. Meyvede koyu kenarlı küçük açık kahverengi lekeler de görülebilir. Sporlar rüzgarla savrulan yağmurla yayılır ve rüzgarlı ıslak hava birkaç gün devam ederse yayılma hızlıdır ve bitkiler yapraklarını hızla kaybeder.","Kültürel kontrol önemlidir. Aşağıdakiler yapılmalıdır: Hastalığı olan eski bitkilerin yanına yeni bitkiler ekmeyin. Papayadan mümkün olduğunca uzağa, özellikle de yapraklarında küçük köşeli lekeler varsa, bitki ekin (Fotoğraf 5). Fidanlıktaki tüm fideleri kontrol edin ve yaprak lekeleri olanları atın. Daha iyi hava akışı sağlamak için bitkilerin alt kısımlarından birkaç dal çıkarın. Hastalık görülür görülmez, özellikle alt meyve salkımları toplandıktan sonra, alt yaprakları çıkarın ve yakın. Bazıları mantarın konukçusu olabileceğinden, arazileri yabani otlardan uzak tutun. Üstten sulama kullanmayın; aksi takdirde spor üretimi ve enfeksiyon için koşullar yaratacaktır. Hasat tamamlandığında mümkün olduğunca çok ürünü toplayın ve yakın. Aynı araziye domates ekmeden önce 3 yıl bırakarak ürün rotasyonu uygulayın.",https://barmac.com.au/wp-content/uploads/sites/3/2016/01/Target-Spot-Tomato1.jpg
36,Domates : Sarı Yaprak Kıvrılma Virüsü,"Domates sarı yaprak kıvrılma virüsü, Begomovirus cinsi ve Geminiviridae familyasındaki bir türdür. Domates sarı yaprak kıvrılma virüsü (TYLCV) enfeksiyonu domates bitkilerinde ciddi semptomlara neden olur ve dünya çapında ciddi verim kayıplarına yol açar. TYLCV, tatlı patates beyaz sineği, Bemisia tabaci (Gennadius) tarafından sürekli olarak bulaştırılır. TYLCV'ye karşı direnç sağlayan tek veya birkaç gene sahip çeşitler ve melezler, genellikle TYLCV kaynaklı kayıpları azaltmak için ekilir. Bu dirençli genotipler (türler veya melezler) TYLCV'ye karşı bağışık değildir. Genellikle sistemik enfeksiyon geliştirirler, hafif semptomlar gösterirler ve TYLCV baskısı altında duyarlı genotiplerden daha fazla pazarlanabilir domates üretirler. Birkaç patojenik sistemde, tek baskın direnç sağlayan gene sahip dirençli çeşitlerin yaygın kullanımı, virüs üzerinde yoğun seçilim baskısına, oldukça virülan suşların gelişmesine ve direncin bozulmasına yol açmıştır.","Sadece virüs ve beyaz sinek içermeyen domates ve biber nakilleri kullanın. Nakiller, beyaz sinek yetişkinleri için Capture (bifenthrin) veya Venom (dinotefuran) ve yumurta ve nimfler için Oberon ile tedavi edilmelidir. Nakil evlerinde, nakliyeden en az yedi gün önce imidakloprid veya tiametoksam kullanılmalıdır. İmidakloprid, tüm bitkiye ve yaprakların altına püskürtülmelidir; yumurtalar ve sinekler genellikle yaprakların altında bulunur. Her 14-21 günde bir püskürtün ve beyaz sineklerin kimyasallara karşı direnç geliştirmemesi için Abamectin ile aylık olarak dönüşümlü olarak kullanın.",https://gd.eppo.int/media/data/taxon/T/TYLCV0/pics/1024x0/10609.jpg
37,Domates : Mozaik Virüsü,"Domates mozaik virüsü (ToMV) ve Tütün mozaik virüsü (TMV) birbirinden ayırt edilmesi zordur. Domates mozaik virüsü (ToMV) domates bitkilerinin sararmasına ve bodurlaşmasına neden olarak bitki kaybına ve verimin azalmasına yol açabilir. ToMV meyvenin düzensiz olgunlaşmasına neden olarak verimi daha da azaltabilir. Tütün mozaik virüsünün (TMV) bir zamanlar domateste daha yaygın olduğu düşünülüyordu. TMV genellikle domates patojeninden çok tütün patojenidir. Yapraklarda benekli açık ve koyu yeşil. Benekli açık ve koyu yeşil genç domates yaprağı, bodur büyüme, kıvrık ve kötü biçimli yapraklar. Domates fidesinde Tütün Mozaik Virüsü belirtileri Bitkiler erken enfekte olursa genel olarak sarı ve bodur görünebilirler. Yapraklar kıvrılmış, kötü biçimli veya boyutları küçülmüş olabilir.","Sertifikalı hastalıksız tohum kullanın veya kendi tohumlarınızı işleyin. Tohumları en az 15 dakika boyunca %10'luk bir trisodyum fosfat (Na3PO4) solüsyonunda bekletin. Veya kuru tohumları 158 °F'ye ısıtın ve bu sıcaklıkta iki ila dört gün tutun. Sadece saygın kaynaklardan nakil satın alın. Hastalığı önlemek için kullandıkları sanitasyon prosedürlerini sorun. Satın almadan önce nakilleri inceleyin. Sadece belirgin bir semptom göstermeyen nakilleri seçin. Virüs köklerde uzun süre yaşayabileceğinden, domates kök kalıntılarının bulunduğu tarlalara ekim yapmaktan kaçının. Bitkiler arasında olası yayılmayı azaltmak için bitkileri işlemeden önce ve işleme sırasında ellerinizi sabun ve suyla yıkayın.",http://ucanr.edu/blogs/dirt/blogfiles/71403_original.jpg
38,Domates : Sağlıklı,"Bir hafta önce ve ekim gününde gübreleyin. Özellikle fosforu severler, bu fosfor çiçeklerin ve onlardan yetişen meyvelerin veya sebzelerin oluşumunu destekler. Domates bitkilerinizde çiçekler varken yüksek nitrojenden kaçının çünkü bu meyve büyümesinden ziyade asma büyümesini destekler. Domates Fidelerini Sıkıştırmayın. Bol Işık Sağlayın. Bahçe Toprağını Önceden Isıtın. Sapları gömün. Toprak Isındıktan Sonra Domatesleri Malçlayın. Alt Yaprakları Çıkarın. Daha Fazla Domates İçin Sıkıştırın ve Budayın. Düzenli Olarak Sulayın.","Domates (Solanum lycopersicum), Güney Amerika'ya özgü patlıcangiller familyasından bir meyvedir. Botanik olarak bir meyve olmasına rağmen, genellikle bir sebze gibi yenir ve hazırlanır. Domatesler, kalp hastalığı ve kanser riskini azaltma gibi birçok sağlık yararıyla ilişkilendirilen antioksidan likopenin başlıca besin kaynağıdır. Ayrıca harika bir C vitamini, potasyum, folat ve K vitamini kaynağıdır.",https://cdn8.dissolve.com/p/D869_27_632/D869_27_632_1200.jpg
